[classname]
levels.Generic
[data]
species  | chemical_species| mass         | isotopologue_ratio| isotopologue_ratio:ref| reduced_mass| point_group| Inuclear| Eref     | Eref:ref | E0
¹²C³²S₂  | CS₂             |              |                   |                       |             | D∞h        |         |          |          |
¹²C³³S₂  | CS₂             |              |                   |                       |             | D∞h        |         |          |          |
¹²C³⁴S₂  | CS₂             |              |                   |                       |             | D∞h        |         |          |          |
¹³C³²S₂  | CS₂             |              |                   |                       |             | D∞h        |         |          |          |
¹³C³³S₂  | CS₂             |              |                   |                       |             | D∞h        |         |          |          |
¹³C³⁴S₂  | CS₂             |              |                   |                       |             | D∞h        |         |          |          |
³²S¹²C³⁴S| CS₂             |              |                   |                       |             | C∞v        |         |          |          |
³²S¹²C³³S| CS₂             |              |                   |                       |             | C∞v        |         |          |          |
³³S¹²C³⁴S| CS₂             |              |                   |                       |             | C∞v        |         |          |          |
³²S¹³C³⁴S| CS₂             |              |                   |                       |             | C∞v        |         |          |          |
³²S¹³C³³S| CS₂             |              |                   |                       |             | C∞v        |         |          |          |
³³S¹³C³⁴S| CS₂             |              |                   |                       |             | C∞v        |         |          |          |
¹²C      | C               | 12.0107      | nan               |                       | nan         | K          | nan     |          |          | nan
¹⁶O      | O               | 15.994915    | nan               |                       | nan         | K          | nan     |          |          | nan
¹⁷O      | O               | 16.999131    | nan               |                       | nan         | K          | nan     |          |          | nan
¹⁸O      | O               | 17.999159    | nan               |                       | nan         | K          | nan     |          |          | nan
³²S      | S               | 31.97207070  | nan               |                       | nan         | K          | nan     |          |          | nan
³³S      | S               | 32.97145843  | nan               |                       | nan         | K          | nan     |          |          | nan
³⁴S      | S               | 33.96786665  | nan               |                       | nan         | K          | nan     |          |          | nan
³⁶S      | S               | 35.96708062  | nan               |                       | nan         | K          | nan     |          |          | nan
¹⁴N      | N               | 14.003074    | nan               |                       |             | K          |         |          |          | nan
¹⁵N      | N               | 15.0001088982| nan               |                       |             | K          |         |          |          | nan
Na       | Na              | 22.9898      | nan               |                       |             | K          |         |          |          | nan
Ar       | Ar              | 39.948       | nan               |                       |             | K          |         |          |          | nan
¹²C¹⁶O   | CO              | 28.          | 0.986544          | NIST                  | 6.8562      | C∞v        | nan     | 1081.7756| coxon2004| 1081.775631
¹²C¹⁷O   | CO              | 29.          | 0.000367867       | NIST                  | 7.0343      | C∞v        | nan     | 1068.0310| coxon2004| 1068.031015
¹²C¹⁸O   | CO              | 30.          | 0.00197822        | NIST                  | 7.1998      | C∞v        | nan     | 1055.7172| coxon2004| 1055.717274
¹³C¹⁶O   | CO              | 29.          | 0.0110836         | NIST                  | 7.1724      | C∞v        | nan     | 1057.7268| coxon2004| 1057.726807
¹³C¹⁷O   | CO              | 30.          | 4.13292e-06       | NIST                  | 7.3675      | C∞v        | nan     | 1043.6628| coxon2004| 1043.662809
¹³C¹⁸O   | CO              | 31.          | 2.2225e-05        | NIST                  | 7.5493      | C∞v        | nan     | 1031.0556| coxon2004| 1031.055619
¹⁴C¹⁶O   | CO              | 29.998       | 0                 |                       | 7.46648     | C∞v        | nan     | 1036.7443| coxon2004| 1036.744345
¹⁴C¹⁷O   | CO              | 31.002       | 0                 |                       | 7.6782      | C∞v        | nan     | 1022.3893| coxon2004| 1022.389332
¹⁴C¹⁸O   | CO              | 32.002       | 0                 |                       | 7.8758      | C∞v        | nan     | 1009.5143| coxon2004| 1009.514309
¹H₂      | H2              | 2.01588      | nan               |                       | 0.50397     | D∞h        | 0.5     |          |          | nan
²H₂      | H2              | 4.028        | nan               |                       | 1.007       | D∞h        | 1       |          |          | nan
D₂       | H2              | 4.028        | nan               |                       | 1.007       | D∞h        | 1       |          |          | nan
HD       | H2              | 3.02194      | nan               |                       | 0.671751    | C∞v        | nan     |          |          | nan
¹H²H     | H2              | 3.02194      | nan               |                       | 0.671751    | C∞v        | nan     |          |          | nan
¹⁴N₂     | N2              | 28.006147    | nan               |                       | 7.0015372   | D∞h        | 1       | 1175.700 |          | nan
¹⁴N¹⁵N   | N2              | 29.0032      | nan               |                       | 7.242227222 | C∞v        | nan     | 1156.091 |          | nan
¹⁵N₂     | N2              | 30.0002      | nan               |                       | 7.50005465  | D∞h        | 0.5     | 1135.103 |          | nan
OH       | OH              | 17.0073      | nan               |                       | 0.948169    | C∞v        | nan     |          |          | nan
OD       | OH              | 18.0135      | nan               |                       | 1.7889      | C∞v        | nan     |          |          | nan
OH+      | OH+             | 17.003288    | nan               |                       | 0.95        | C∞v        | nan     |          |          | nan
CS       | CS              | 44.0767      | nan               |                       | 8.73784     | C∞v        | nan     |          |          | nan
¹⁴N¹⁶O   | NO              | 29.997990    | nan               |                       | 7.4664331   | C∞v        | nan     |          |          | nan
¹²C¹⁴N   | CN              | 26.018       | nan               |                       | 6.4661      | C∞v        | nan     |          |          | nan
³²S¹⁶O   | SO              | 47.966984    | nan               |                       | 10.6613     | C∞v        | 0       | 573.79105|          | nan
³³S¹⁶O   | SO              | 48.9664      | nan               |                       | 10.7702     | C∞v        | 0       | 570.89075|          | nan
