[classname]
dataset.Dataset
[description]
Downloaded from wikipedia downloaded data from  https://en.wikipedia.org/wiki/List_of_CAS_numbers_by_chemical_compound and modify slightly here on 2022-01-11
[metadata]
ascii                = { 'fmt': 's',              'kind': 'U',             'description': 'str',                   }
name                 = { 'fmt': 's',              'kind': 'U',             'description': 'str',                   }
CAS                  = { 'fmt': 's',              'kind': 'U',             'description': 'str',                   }
unicode              = { 'fmt': 's',              'kind': 'U',             'description': 'str',                   }
CASint               = { 'fmt': 'd',              'kind': 'i',             'description': 'int',                   }
[data]
ascii                              | name                                         | CAS         | unicode                            | CASint   
(BiO)2CO3                          | bismuth(III) subcarbonate                    | 5892-10-4   | (BiO)₂CO₃                          | 5892104  
(BiO)2CO3                          | bismuth oxycarbonate                         | 5892-10-4   | (BiO)₂CO₃                          | 5892104  
(C12H14CaO12)n                     | calcium alginate                             | 0           | (C₁₂H₁₄CaO₁₂)n                     | 0        
(C2H5)2NH                          | diethylamine                                 | 109-89-7    | (C₂H₅)₂NH                          | 109897   
(C6H5)2O                           | diphenyl ether                               | 0           | (C₆H₅)₂O                           | 0        
(C6H5)3N                           | triphenylamine                               | 0           | (C₆H₅)₃N                           | 0        
(C6H5)3P                           | triphenylphosphine                           | 0           | (C₆H₅)₃P                           | 0        
(C6H5)4Ge                          | tetraphenylgermane                           | 1048-05-1   | (C₆H₅)₄Ge                          | 1048051  
(CH)3COH                           | t-butyl alcohol                              | 75-65-0     | (CH)₃COH                           | 75650    
(CH3)2C2O4                         | dimethyl oxalate                             | 553-90-2    | (CH₃)₂C₂O₄                         | 553902   
(CH3)2CHOH                         | isopropyl alcohol                            | 67-63-0     | (CH₃)₂CHOH                         | 67630    
(CH3)2CHOH                         | 2-propanol                                   | 67-63-0     | (CH₃)₂CHOH                         | 67630    
(CH3)2CHOH                         | propan-2-ol                                  | 67-63-0     | (CH₃)₂CHOH                         | 67630    
(CH3)2CHOH                         | isopropanol                                  | 67-63-0     | (CH₃)₂CHOH                         | 67630    
(CH3)2CO                           | acetone                                      | 67-64-1     | (CH₃)₂CO                           | 67641    
(CH3)2NH                           | dimethylamine                                | 124-40-3    | (CH₃)₂NH                           | 124403   
(CH3)2NNH2                         | dimethyl hydrazine                           | 30260-66-3  | (CH₃)₂NNH₂                         | 30260663 
(CH3)2S+CH2CH2COO−                 | dimethylsulfoniopropionate                   | 7314-30-9   | (CH₃)₂S+CH₂CH₂COO−                 | 7314309  
(CH3)2S+CH2CH2COO−                 | DMSP                                         | 7314-30-9   | (CH₃)₂S+CH₂CH₂COO−                 | 7314309  
(CH3)2SO                           | Dimethyl sulfoxide (DMSO)                    | 67-68-5     | (CH₃)₂SO                           | 67685    
(CH3)3CCl                          | t-butyl chloride                             | 507-20-0    | (CH₃)₃CCl                          | 507200   
(CH3)3COOC(CH3)3                   | di-t-butyl peroxide                          | 110-05-4    | (CH₃)₃COOC(CH₃)₃                   | 110054   
(CH3)3COOC(CH3)3                   | DTBP                                         | 110-05-4    | (CH₃)₃COOC(CH₃)₃                   | 110054   
(CH3)3N                            | trimethylamine                               | 75-50-3     | (CH₃)₃N                            | 75503    
(CH3CO)2O                          | acetic anhydride                             | 108-24-7    | (CH₃CO)₂O                          | 108247   
(CN)2                              | cyanogen                                     | 460-19-5    | (CN)₂                              | 460195   
(NH2)2CO                           | urea                                         | 57-13-6     | (NH₂)₂CO                           | 57136    
(NH4)2CO3                          | ammonium carbonate                           | 506-87-6    | (NH₄)₂CO₃                          | 506876   
(NH4)2Ce(NO3)6                     | ammonium cerium(IV) nitrate                  | 16774-21-3  | (NH₄)₂Ce(NO₃)₆                     | 16774213 
(NH4)2Ce(NO3)6                     | ceric ammonium nitrate                       | 16774-21-3  | (NH₄)₂Ce(NO₃)₆                     | 16774213 
(NH4)2Ce(NO3)6                     | CAN                                          | 16774-21-3  | (NH₄)₂Ce(NO₃)₆                     | 16774213 
(NH4)2CrO4                         | ammonium chromate                            | 7788-98-9   | (NH₄)₂CrO₄                         | 7788989  
(NH4)2Hg(SCN)4                     | mercury(II) ammonium thiocyanate             | 0           | (NH₄)₂Hg(SCN)₄                     | 0        
(NH4)2SO4                          | ammonium sulfate                             | 7783-20-2   | (NH₄)₂SO₄                          | 7783202  
(NH4)2SO4                          | ammonium sulfate                             | 7783-20-2   | (NH₄)₂SO₄                          | 7783202  
(NH4)2[Pt(SCN)6]                   | ammonium hexathiocyanoplatinate(IV)          | 19372-45-3  | (NH₄)₂[Pt(SCN)₆]                   | 19372453 
(NH4)2[PtCl6]                      | ammonium hexachloroplatinate(IV)             | 16919-58-7  | (NH₄)₂[PtCl₆]                      | 16919587 
(NH4)3N                            | ammonium nitride                             | 0           | (NH₄)₃N                            | 0        
(NH4)3PO4                          | ammonium phosphate                           | 7783-28-0   | (NH₄)₃PO₄                          | 7783280  
(NH4)H2AsO4                        | ammonium dihydrogen arsenate                 | 13462-93-6  | (NH₄)H₂AsO₄                        | 13462936 
(NaPO3)6                           | sodium hexametaphosphate                     | 10124-56-8  | (NaPO₃)₆                           | 10124568 
(NbF5)4                            | niobium(V) fluoride                          | 7783-68-8   | (NbF₅)₄                            | 7783688  
(OsF5)4                            | osmium(V) fluoride                           | 31576-40-6  | (OsF₅)₄                            | 31576406 
Ac2O3                              | actinium(III) oxide                          | 12002-61-8  | Ac₂O₃                              | 12002618 
Ac2O3                              | actinium(III) oxide                          | 12002-61-8  | Ac₂O₃                              | 12002618 
Ag2C2                              | silver acetylide                             | 7659-31-6   | Ag₂C₂                              | 7659316  
Ag2C2                              | silver acetylide                             | 7659-31-6   | Ag₂C₂                              | 7659316  
Ag2C2O4                            | silver oxalate                               | 533-51-7    | Ag₂C₂O₄                            | 533517   
Ag2C2O4                            | silver oxalate                               | 533-51-7    | Ag₂C₂O₄                            | 533517   
Ag2CO3                             | silver carbonate                             | 534-16-7    | Ag₂CO₃                             | 534167   
Ag2CO3                             | silver(I) carbonate                          | 534-16-7    | Ag₂CO₃                             | 534167   
Ag2Cl2                             | disilver dichloride                          | 75763-82-5  | Ag₂Cl₂                             | 75763825 
Ag2Cl2                             | silver(II) dichloride                        | 75763-82-5  | Ag₂Cl₂                             | 75763825 
Ag2Cr2O7                           | silver dichromate                            | 7784-02-3   | Ag₂Cr₂O₇                           | 7784023  
Ag2Cr2O7                           | silver dichromate                            | 7784-02-3   | Ag₂Cr₂O₇                           | 7784023  
Ag2CrO4                            | silver chromate                              | 7784-01-2   | Ag₂CrO₄                            | 7784012  
Ag2CrO4                            | silver chromate                              | 7784-01-2   | Ag₂CrO₄                            | 7784012  
Ag2F                               | silver subfluoride                           | 1302-01-8   | Ag₂F                               | 1302018  
Ag2F                               | silver subfluoride                           | 1302-01-8   | Ag₂F                               | 1302018  
Ag2MoO4                            | silver molybdate                             | 13765-74-7  | Ag₂MoO₄                            | 13765747 
Ag2MoO4                            | silver molybdate                             | 13765-74-7  | Ag₂MoO₄                            | 13765747 
Ag2O                               | silver oxide                                 | 20667-12-3  | Ag₂O                               | 20667123 
Ag2O                               | silver(I) oxide                              | 20667-12-3  | Ag₂O                               | 20667123 
Ag2S                               | silver sulfide                               | 21548-73-2  | Ag₂S                               | 21548732 
Ag2S                               | silver sulfide                               | 21548-73-2  | Ag₂S                               | 21548732 
Ag2SO4                             | silver sulfate                               | 10294-26-5  | Ag₂SO₄                             | 10294265 
Ag2SO4                             | silver sulfate                               | 10294-26-5  | Ag₂SO₄                             | 10294265 
Ag2Se                              | silver selenide                              | 1302-09-6   | Ag₂Se                              | 1302096  
Ag2Se                              | silver selenide                              | 1302-09-6   | Ag₂Se                              | 1302096  
Ag2SeO3                            | silver selenite                              | 7784-05-6   | Ag₂SeO₃                            | 7784056  
Ag2SeO3                            | silver selenite                              | 7784-05-6   | Ag₂SeO₃                            | 7784056  
Ag2SeO4                            | silver selenate                              | 7784-07-8   | Ag₂SeO₄                            | 7784078  
Ag2SeO4                            | silver selenate                              | 7784-07-8   | Ag₂SeO₄                            | 7784078  
Ag2Te                              | silver telluride                             | 12002-99-2  | Ag₂Te                              | 12002992 
Ag2Te                              | silver(I) telluride                          | 12002-99-2  | Ag₂Te                              | 12002992 
Ag3Br2                             | silver dibromide                             | 11078-32-3  | Ag₃Br₂                             | 11078323 
Ag3Br2                             | silver dibromide                             | 11078-32-3  | Ag₃Br₂                             | 11078323 
Ag3Br3                             | silver tribromide                            | 11078-33-4  | Ag₃Br₃                             | 11078334 
Ag3Br3                             | silver tribromide                            | 11078-33-4  | Ag₃Br₃                             | 11078334 
Ag3Cl3                             | trisilver trichloride                        | 12444-96-1  | Ag₃Cl₃                             | 12444961 
Ag3Cl3                             | silver(III) trichloride                      | 12444-96-1  | Ag₃Cl₃                             | 12444961 
Ag3I3                              | trisilver triiodide                          | 37375-12-5  | Ag₃I₃                              | 37375125 
Ag3I3                              | silver(III) triiodide                        | 37375-12-5  | Ag₃I₃                              | 37375125 
Ag3PO4                             | silver phosphate                             | 7784-09-0   | Ag₃PO₄                             | 7784090  
Ag3PO4                             | silver phosphate                             | 7784-09-0   | Ag₃PO₄                             | 7784090  
Ag3SbS3                            | silver thioantimonate                        | 15983-65-0  | Ag₃SbS₃                            | 15983650 
AgAlCl4                            | silver tetrachloroaluminate                  | 27039-77-6  | AgAlCl₄                            | 27039776 
AgBF4                              | Silver tetrafluoroborate                     | 14104-20-2  | AgBF₄                              | 14104202 
AgBr                               | silver bromide                               | 7785-23-1   | AgBr                               | 7785231  
AgBr                               | silver bromide                               | 7785-23-1   | AgBr                               | 7785231  
AgBrO                              | silver hypobromite                           | 0           | AgBrO                              | 0        
AgBrO2                             | silver bromite                               | 0           | AgBrO₂                             | 0        
AgBrO3                             | silver bromate                               | 7783-89-3   | AgBrO₃                             | 7783893  
AgBrO3                             | silver bromate                               | 7783-89-3   | AgBrO₃                             | 7783893  
AgBrO4                             | silver perbromate                            | 0           | AgBrO₄                             | 0        
AgC2H3O2                           | silver acetate                               | 563-63-3    | AgC₂H₃O₂                           | 563633   
AgCN                               | silver cyanide                               | 506-64-9    | AgCN                               | 506649   
AgCN                               | silver cyanide                               | 506-64-9    | AgCN                               | 506649   
AgCNO                              | silver fulminate                             | 5610-59-3   | AgCNO                              | 5610593  
AgCl                               | silver chloride                              | 7783-90-6   | AgCl                               | 7783906  
AgCl                               | silver chloride                              | 7783-90-6   | AgCl                               | 7783906  
AgCl3Cu2                           | dicopper silver trichloride                  | 69569-03-5  | AgCl₃Cu₂                           | 69569035 
AgClO3                             | silver chlorate                              | 7783-92-8   | AgClO₃                             | 7783928  
AgClO3                             | silver chlorate                              | 7783-92-8   | AgClO₃                             | 7783928  
AgClO4                             | silver perchlorate                           | 7783-93-9   | AgClO₄                             | 7783939  
AgClO4                             | silver perchlorate                           | 7783-93-9   | AgClO₄                             | 7783939  
AgF                                | silver fluoride                              | 7775-41-9   | AgF                                | 7775419  
AgF                                | silver fluoride                              | 7775-41-9   | AgF                                | 7775419  
AgF2                               | silver difluoride                            | 7783-95-1   | AgF₂                               | 7783951  
AgF2                               | silver(II) fluoride                          | 7783-95-1   | AgF₂                               | 7783951  
AgI                                | silver iodide                                | 7783-96-2   | AgI                                | 7783962  
AgI                                | silver iodide                                | 7783-96-2   | AgI                                | 7783962  
AgIO                               | silver hypoiodite                            | 0           | AgIO                               | 0        
AgIO2                              | silver iodite                                | 0           | AgIO₂                              | 0        
AgIO3                              | silver iodate                                | 7783-97-3   | AgIO₃                              | 7783973  
AgIO3                              | silver iodate                                | 7783-97-3   | AgIO₃                              | 7783973  
AgIO4                              | silver periodate                             | 0           | AgIO₄                              | 0        
AgMnO4                             | silver permanganate                          | 7783-98-4   | AgMnO₄                             | 7783984  
AgMnO4                             | silver permanganate                          | 7783-98-4   | AgMnO₄                             | 7783984  
AgN3                               | silver azide                                 | 13863-88-2  | AgN₃                               | 13863882 
AgN3                               | silver azide                                 | 13863-88-2  | AgN₃                               | 13863882 
AgNO3                              | silver nitrate                               | 7761-88-8   | AgNO₃                              | 7761888  
AgNO3                              | silver nitrate                               | 7761-88-8   | AgNO₃                              | 7761888  
AgO                                | silver(I,III) oxide                          | 1301-96-8   | AgO                                | 1301968  
AgO                                | silver monoxide                              | 1301-96-8   | AgO                                | 1301968  
AgONC                              | silver fulminate                             | 5610-59-3   | AgONC                              | 5610593  
AgONC                              | silver cyanate                               | 3315-16-0   | AgONC                              | 3315160  
AgPF6                              | silver hexafluorophosphate                   | 26042-63-7  | AgPF₆                              | 26042637 
AgReO4                             | silver perrhenate                            | 7784-00-1   | AgReO₄                             | 7784001  
AgSNC                              | silver thiocyanate                           | 1701-93-5   | AgSNC                              | 1701935  
AgSNC                              | silver thiocyanate                           | 1701-93-5   | AgSNC                              | 1701935  
Al                                 | aluminium                                    | 7429-90-5   | Al                                 | 7429905  
Al(CHO2)3                          | aluminium formate                            | 7360-53-4   | Al(CHO₂)₃                          | 7360534  
Al(NO2)3                           | aluminium nitrite                            | 0           | Al(NO₂)₃                           | 0        
Al(NO3)3                           | aluminium nitrate                            | 13473-90-0  | Al(NO₃)₃                           | 13473900 
Al(NO3)3                           | aluminium nitrate                            | 13473-90-0  | Al(NO₃)₃                           | 13473900 
Al(OH)3                            | aluminium hydroxide                          | 21645-51-2  | Al(OH)₃                            | 21645512 
Al(OH)3                            | aluminium hydroxide                          | 21645-51-2  | Al(OH)₃                            | 21645512 
Al2(CO3)3                          | aluminium carbonate                          | 14455-29-9  | Al₂(CO₃)₃                          | 14455299 
Al2(SO4)3                          | aluminium sulfate                            | 10043-01-3  | Al₂(SO₄)₃                          | 10043013 
Al2(SO4)3                          | aluminium sulphate                           | 14455-29-9  | Al₂(SO₄)₃                          | 14455299 
Al2BeO4                            | beryllium aluminium oxide                    | 12004-06-7  | Al₂BeO₄                            | 12004067 
Al2Br6                             | dialuminium hexabromide                      | 18898-34-5  | Al₂Br₆                             | 18898345 
Al2Cl9K3                           | potassium aluminium chloride                 | 74978-20-4  | Al₂Cl₉K₃                           | 74978204 
Al2CoO4                            | cobalt blue                                  | 1333-88-6   | Al₂CoO₄                            | 1333886  
Al2F6                              | aluminium fluoride                           | 17949-86-9  | Al₂F₆                              | 17949869 
Al2I6                              | aluminium iodide                             | 18898-35-6  | Al₂I₆                              | 18898356 
Al2MgO4                            | magnesium aluminium oxide                    | 12068-51-8  | Al₂MgO₄                            | 12068518 
Al2O                               | dialuminium monoxide                         | 12004-36-3  | Al₂O                               | 12004363 
Al2O2                              | dialuminium dioxide                          | 12252-63-0  | Al₂O₂                              | 12252630 
Al2O3                              | aluminium oxide                              | 1344-28-1   | Al₂O₃                              | 1344281  
Al2O3                              | aluminium oxide                              | 1344-28-1   | Al₂O₃                              | 1344281  
Al2O5Si                            | aluminium silicate                           | 12141-46-7  | Al₂O₅Si                            | 12141467 
Al2O5Si                            | aluminium silicate                           | 1302-76-7   | Al₂O₅Si                            | 1302767  
Al2O5Si                            | andalusite                                   | 12183-80-1  | Al₂O₅Si                            | 12183801 
Al2O7Si2                           | aluminium silicate                           | 1332-58-7   | Al₂O₇Si₂                           | 1332587  
Al2S                               | dialuminium monosulfide                      | 12004-45-4  | Al₂S                               | 12004454 
Al2S3                              | aluminium sulfide                            | 1302-81-4   | Al₂S₃                              | 1302814  
Al2S3                              | aluminium sulfide                            | 1302-81-4   | Al₂S₃                              | 1302814  
Al2Se                              | dialuminium selenide                         | 12598-14-0  | Al₂Se                              | 12598140 
Al2Se3                             | aluminium selenide                           | 1302-82-5   | Al₂Se₃                             | 1302825  
Al2Si2O5(OH)4                      | kaolin                                       | 1332-58-7   | Al₂Si₂O₅(OH)₄                      | 1332587  
Al2Te                              | dialuminium telluride                        | 12598-16-2  | Al₂Te                              | 12598162 
Al3F14Na5                          | chiolite                                     | 1302-84-7   | Al₃F₁₄Na₅                          | 1302847  
Al4C3                              | aluminum carbide                             | 1299-86-1   | Al₄C₃                              | 1299861  
Al4C3                              | aluminium carbide                            | 1299-86-1   | Al₄C₃                              | 1299861  
Al6BeO10                           | beryllium aluminium oxide                    | 12253-74-6  | Al₆BeO₁₀                           | 12253746 
Al6O13Si2                          | aluminum silicate                            | 1302-93-8   | Al₆O₁₃Si₂                          | 1302938  
Al6O13Si2                          | mullite                                      | 1302-93-8   | Al₆O₁₃Si₂                          | 1302938  
AlAs                               | aluminium arsenide                           | 22831-42-1  | AlAs                               | 22831421 
AlB12                              | aluminium dodecaboride                       | 12041-54-2  | AlB₁₂                              | 12041542 
AlB2                               | aluminium diboride                           | 12041-50-8  | AlB₂                               | 12041508 
AlBO                               | aluminium boron oxide                        | 12041-48-4  | AlBO                               | 12041484 
AlBO3                              | aluminium borate                             | 61279-70-7  | AlBO₃                              | 61279707 
AlBr                               | aluminium monobromide                        | 22359-97-3  | AlBr                               | 22359973 
AlBr3                              | aluminium bromide                            | 7727-15-3   | AlBr₃                              | 7727153  
AlBr3                              | aluminium tribromide                         | 7727-15-3   | AlBr₃                              | 7727153  
AlBr3.6H2O                         | aluminium bromide hexahydrate                | 7784-11-4   | AlBr₃•6H₂O                         | 7784114  
AlCl                               | aluminium monochloride                       | 13595-81-8  | AlCl                               | 13595818 
AlCl2<F                            | aluminium chloride fluoride                  | 22395-91-1  | AlCl₂<F                            | 22395911 
AlCl2F                             | aluminium chloride fluoride                  | 13497-96-6  | AlCl₂F                             | 13497966 
AlCl2H                             | dichloroalumane                              | 16603-84-2  | AlCl₂H                             | 16603842 
AlCl3                              | aluminium chloride                           | 7446-70-0   | AlCl₃                              | 7446700  
AlCl3                              | aluminium chloride                           | 16603-84-2  | AlCl₃                              | 16603842 
AlCl3                              | aluminium trichloride                        | 7446-70-0   | AlCl₃                              | 7446700  
AlCl3.6H2O                         | aluminium chloride hexahydrate               | 7784-13-6   | AlCl₃•6H₂O                         | 7784136  
AlCl4Cs                            | aluminium caesium tetrachloride              | 17992-03-9  | AlCl₄Cs                            | 17992039 
AlCl4K                             | potassium tetrachloroaluminate               | 13821-13-1  | AlCl₄K                             | 13821131 
AlCl4Na                            | sodium tetrachloroaluminate                  | 7784-16-9   | AlCl₄Na                            | 7784169  
AlCl4Rb                            | aluminium rubidium tetrachloride             | 17992-02-8  | AlCl₄Rb                            | 17992028 
AlCl6K3                            | potassium hexachloroaluminate                | 13782-08-6  | AlCl₆K₃                            | 13782086 
AlCl6Na3                           | sodium hexachloroaluminate                   | 60172-46-5  | AlCl₆Na₃                           | 60172465 
AlClF                              | aluminium chloride fluoride                  | 22395-91-1  | AlClF                              | 22395911 
AlClO                              | aluminium chloride oxide                     | 13596-11-7  | AlClO                              | 13596117 
AlF                                | aluminium monofluoride                       | 13595-82-9  | AlF                                | 13595829 
AlF2                               | aluminium difluoride                         | 13569-23-8  | AlF₂                               | 13569238 
AlF2O                              | aluminium difluoride oxide                   | 38344-66-0  | AlF₂O                              | 38344660 
AlF3                               | aluminium fluoride                           | 7784-18-1   | AlF₃                               | 7784181  
AlF3                               | aluminium trifluoride                        | 7784-18-1   | AlF₃                               | 7784181  
AlF4K                              | potassium tetrafluoroaluminate               | 14484-69-6  | AlF₄K                              | 14484696 
AlF4Li                             | lithium tetrafluoroaluminate                 | 15138-76-8  | AlF₄Li                             | 15138768 
AlF6K3                             | potassium hexafluoraluminate                 | 13775-52-5  | AlF₆K₃                             | 13775525 
AlF6Li3                            | lithium hexafluoroaluminate                  | 13821-20-0  | AlF₆Li₃                            | 13821200 
AlF6Na3                            | cryolite                                     | 15096-52-3  | AlF₆Na₃                            | 15096523 
AlFO                               | aluminium monofluoride monoxide              | 13596-12-8  | AlFO                               | 13596128 
AlGaInP                            | aluminium-gallium-indium phosphide           | 0           | AlGaInP                            | 0        
AlI                                | aluminium monoiodide                         | 29977-41-1  | AlI                                | 29977411 
AlI3                               | aluminium iodide                             | 7784-23-8   | AlI₃                               | 7784238  
AlI3                               | aluminium triiodide                          | 7784-23-8   | AlI₃                               | 7784238  
AlLiO2                             | lithium aluminate                            | 12003-67-7  | AlLiO₂                             | 12003677 
AlN                                | aluminium nitride                            | 24304-00-5  | AlN                                | 24304005 
AlN                                | aluminium nitride                            | 24304-00-5  | AlN                                | 24304005 
AlNaO2                             | sodium aluminate                             | 1302-42-7   | AlNaO₂                             | 1302427  
AlO                                | aluminium monoxide                           | 14457-64-8  | AlO                                | 14457648 
AlO2                               | aluminium(IV) oxide                          | 11092-32-3  | AlO₂                               | 11092323 
AlOSi                              | aluminium silicon monoxide                   | 37361-47-0  | AlOSi                              | 37361470 
AlP                                | aluminium phosphide                          | 20859-73-8  | AlP                                | 20859738 
AlP                                | aluminium monophosphide                      | 20859-73-8  | AlP                                | 20859738 
AlPO4                              | aluminium phosphate                          | 7784-30-7   | AlPO₄                              | 7784307  
AlPO4                              | aluminium phosphate                          | 7784-30-7   | AlPO₄                              | 7784307  
AlSb                               | aluminium antimonide                         | 25152-52-7  | AlSb                               | 25152527 
AlTe                               | aluminium monotelluride                      | 23330-86-1  | AlTe                               | 23330861 
AlTe2                              | monoaluminium ditelluride                    | 39297-18-2  | AlTe₂                              | 39297182 
AmCl3                              | americium(III) chloride                      | 13464-46-5  | AmCl₃                              | 13464465 
AmO2                               | americium dioxide                            | 12005-67-3  | AmO₂                               | 12005673 
ArClF                              | argon chloride fluoride                      | 53169-15-6  | ArClF                              | 53169156 
ArClH                              | argon chloride hydride                       | 163731-17-7 | ArClH                              | 163731177
ArFH                               | argon fluoride hydride                       | 163731-16-6 | ArFH                               | 163731166
ArPF6                              | silver hexafluorophosphate                   | 26042-63-7  | ArPF₆                              | 26042637 
As                                 | arsenic                                      | 7440-38-2   | As                                 | 7440382  
As2H4                              | diarsenic tetrahydride                       | 15942-63-9  | As₂H₄                              | 15942639 
As2I4                              | arsenic diiodide                             | 13770-56-4  | As₂I₄                              | 13770564 
As2I4                              | arsenic diiodide                             | 13770-56-4  | As₂I₄                              | 13770564 
As2Mg3                             | magnesium arsenide                           | 12044-49-4  | As₂Mg₃                             | 12044494 
As2O3                              | arsenic trioxide                             | 1327-53-3   | As₂O₃                              | 1327533  
As2O3                              | arsenic trioxide                             | 1327-53-3   | As₂O₃                              | 1327533  
As2O5                              | arsenic pentoxide                            | 1303-28-2   | As₂O₅                              | 1303282  
As2O5                              | arsenic pentoxide                            | 1303-28-2   | As₂O₅                              | 1303282  
As2P2                              | arsenic diphosphide                          | 12512-03-7  | As₂P₂                              | 12512037 
As2P2                              | arsenic diphosphide                          | 12512-03-7  | As₂P₂                              | 12512037 
As2S3                              | arsenic trisulfide                           | 1303-33-9   | As₂S₃                              | 1303339  
As2S4                              | arsenic tetrasulfide                         | 1303-32-8   | As₂S₄                              | 1303328  
As2S4                              | arsenic tetrasulfide                         | 1303-32-8   | As₂S₄                              | 1303328  
As2S5                              | arsenic pentasulfide                         | 1303-34-0   | As₂S₅                              | 1303340  
As2S5                              | arsenic pentasulfide                         | 1303-34-0   | As₂S₅                              | 1303340  
As2Se                              | arsenic hemiselenide                         | 1303-35-1   | As₂Se                              | 1303351  
As2Se                              | arsenic hemiselenide                         | 1303-35-1   | As₂Se                              | 1303351  
As2Se3                             | arsenic triselenide                          | 1303-36-2   | As₂Se₃                             | 1303362  
As2Se3                             | arsenic triselenide                          | 1303-36-2   | As₂Se₃                             | 1303362  
As2Se5                             | arsenic pentaselenide                        | 1303-37-3   | As₂Se₅                             | 1303373  
As2Se5                             | arsenic pentaselenide                        | 1303-37-3   | As₂Se₅                             | 1303373  
