## Downloaded 2022-01-11 from https://en.wikipedia.org/wiki/Glossary_of_chemical_formulae and https://en.wikipedia.org/wiki/List_of_CAS_numbers_by_chemical_compound
ascii                              | name                                         | CAS
(BiO)2CO3                          | bismuth(III) subcarbonate                    | 5892-10-4
(BiO)2CO3                          | bismuth oxycarbonate                         | 5892-10-4
(C12H14CaO12)n                     | calcium alginate                             | 
(C2H5)2NH                          | diethylamine                                 | 109-89-7
(C6H5)2O                           | diphenyl ether                               | 
(C6H5)3N                           | triphenylamine                               | 
(C6H5)3P                           | triphenylphosphine                           | 
(C6H5)4Ge                          | tetraphenylgermane                           | 1048-05-1
(CH)3COH                           | t-butyl alcohol                              | 75-65-0
(CH3)2C2O4                         | dimethyl oxalate                             | 553-90-2
(CH3)2CHOH                         | isopropyl alcohol                            | 67-63-0
(CH3)2CHOH                         | 2-propanol                                   | 67-63-0
(CH3)2CHOH                         | propan-2-ol                                  | 67-63-0
(CH3)2CHOH                         | isopropanol                                  | 67-63-0
(CH3)2CO                           | acetone                                      | 67-64-1
(CH3)2NH                           | dimethylamine                                | 124-40-3
(CH3)2NNH2                         | dimethyl hydrazine                           | 30260-66-3
(CH3)2S+CH2CH2COO−                 | dimethylsulfoniopropionate                   | 7314-30-9
(CH3)2S+CH2CH2COO−                 | DMSP                                         | 7314-30-9
(CH3)2SO                           | Dimethyl sulfoxide (DMSO)                    | 67-68-5
(CH3)3CCl                          | t-butyl chloride                             | 507-20-0
(CH3)3COOC(CH3)3                   | di-t-butyl peroxide                          | 110-05-4
(CH3)3COOC(CH3)3                   | DTBP                                         | 110-05-4
(CH3)3N                            | trimethylamine                               | 75-50-3
(CH3CO)2O                          | acetic anhydride                             | 108-24-7
(CN)2                              | cyanogen                                     | 460-19-5
(NH2)2CO                           | urea                                         | 57-13-6
(NH4)2CO3                          | ammonium carbonate                           | 506-87-6
(NH4)2Ce(NO3)6                     | ammonium cerium(IV) nitrate                  | 16774-21-3
(NH4)2Ce(NO3)6                     | ceric ammonium nitrate                       | 16774-21-3
(NH4)2Ce(NO3)6                     | CAN                                          | 16774-21-3
(NH4)2CrO4                         | ammonium chromate                            | 7788-98-9
(NH4)2Hg(SCN)4                     | mercury(II) ammonium thiocyanate             | 
(NH4)2SO4                          | ammonium sulfate                             | 7783-20-2
(NH4)2SO4                          | ammonium sulfate                             | 7783-20-2
(NH4)2[Pt(SCN)6]                   | ammonium hexathiocyanoplatinate(IV)          | 19372-45-3
(NH4)2[PtCl6]                      | ammonium hexachloroplatinate(IV)             | 16919-58-7
(NH4)3N                            | ammonium nitride                             | 
(NH4)3PO4                          | ammonium phosphate                           | 7783-28-0
